Physician,DiagnosisGroupCode,Count,TotalDeductibleAmtPaid,TotalInscClaimAmtReimbursed
PHY311002,023,1,1068.0,3000
PHY311007,947,1,1068.0,6000
PHY311019,641,1,1068.0,3000
PHY311023,207,1,1068.0,6000
PHY311028,543,1,1068.0,11000
PHY311035,243,1,1068.0,9000
PHY311056,003,1,1068.0,57000
PHY311058,295,1,1068.0,13000
PHY311058,544,1,1068.0,41000
PHY311071,620,1,1068.0,5000
PHY311075,227,1,1068.0,3000
PHY311076,218,1,1068.0,29000
PHY311082,289,1,1068.0,5000
PHY311096,068,1,1068.0,5000
PHY311096,159,1,1068.0,13000
PHY311096,191,1,1068.0,30000
PHY311096,197,1,1068.0,13000
PHY311096,230,1,1068.0,13000
PHY311096,255,1,1068.0,33000
PHY311096,293,2,2136.0,8000
PHY311096,425,1,1068.0,9000
PHY311096,544,1,1068.0,11000
PHY311096,618,1,1068.0,13000
PHY311096,667,1,1068.0,13000
PHY311096,739,1,1068.0,0
PHY311096,804,1,1068.0,7000
PHY311096,880,1,1068.0,18000
PHY311096,897,1,1068.0,3000
PHY311106,158,1,1068.0,2000
PHY311106,176,1,1068.0,8000
PHY311106,258,1,1068.0,10000
PHY311106,315,1,1068.0,7000
PHY311106,350,1,1068.0,4000
PHY311128,067,1,1068.0,11000
PHY311128,224,1,1068.0,3000
PHY311128,469,1,1068.0,13000
PHY311128,665,1,1068.0,10000
PHY311138,810,1,1068.0,5000
PHY311141,198,1,1068.0,13000
PHY311141,941,1,1068.0,11000
PHY311147,164,1,1068.0,6000
PHY311147,296,1,1068.0,12000
PHY311147,313,1,1068.0,3000
PHY311147,779,1,1068.0,21000
PHY311147,941,1,1068.0,20000
PHY311147,OTH,1,1068.0,0
PHY311159,187,1,1068.0,7000
PHY311159,198,1,1068.0,31000
PHY311159,378,1,1068.0,5000
PHY311162,207,1,1068.0,6000
PHY311162,298,1,1068.0,8000
PHY311162,684,1,1068.0,3000
PHY311162,872,1,1068.0,6000
PHY311162,885,1,1068.0,9000
PHY311166,198,1,1068.0,13000
PHY311170,066,1,1068.0,9000
PHY311170,075,2,2136.0,8000
PHY311170,094,1,1068.0,4000
PHY311170,182,2,2136.0,16000
PHY311170,225,1,1068.0,10000
PHY311170,259,1,1068.0,14000
PHY311170,369,1,1068.0,6000
PHY311170,537,1,1068.0,9000
PHY311170,689,1,1068.0,6000
PHY311170,690,1,1068.0,6000
PHY311170,727,1,1068.0,4000
PHY311170,869,1,1068.0,57000
PHY311170,876,1,0.0,6000
PHY311170,884,1,1068.0,2000
PHY311170,885,1,1068.0,3000
PHY311170,939,1,1068.0,17000
PHY311177,315,1,1068.0,30000
PHY311182,683,1,1068.0,9000
PHY311195,468,1,1068.0,23000
PHY311195,880,1,1068.0,5000
PHY311206,700,1,1068.0,6000
PHY311207,230,1,1068.0,8000
PHY311207,376,1,1068.0,57000
PHY311207,391,1,1068.0,10000
PHY311207,614,1,1068.0,11000
PHY311207,652,2,2136.0,23000
PHY311207,755,1,1068.0,5000
PHY311217,809,2,2136.0,12000
PHY311222,260,1,1068.0,14000
PHY311222,382,1,1068.0,8000
PHY311223,164,1,1068.0,4000
PHY311223,194,1,1068.0,6000
PHY311223,221,1,1068.0,55000
PHY311223,476,1,1068.0,8000
PHY311253,863,1,1068.0,11000
PHY311262,312,1,1068.0,36000
PHY311266,223,1,1068.0,5000
PHY311266,867,1,1068.0,4000
PHY311266,871,1,1068.0,18000
PHY311271,949,1,1068.0,21000
PHY311276,382,1,1068.0,3000
