Physician,ClmProcedureCode,Count,TotalDeductibleAmtPaid,TotalInscClaimAmtReimbursed
PHY311019,64.0,1,1068.0,3000
PHY311028,8152.0,1,1068.0,11000
PHY311035,8954.0,1,1068.0,9000
PHY311056,3522.0,1,1068.0,57000
PHY311058,3927.0,1,1068.0,13000
PHY311058,8108.0,1,1068.0,41000
PHY311058,9971.0,1,1068.0,41000
PHY311071,4513.0,1,1068.0,5000
PHY311076,3615.0,1,1068.0,29000
PHY311076,4139.0,1,1068.0,29000
PHY311096,331.0,1,1068.0,5000
PHY311096,722.0,1,1068.0,13000
PHY311096,2172.0,1,1068.0,13000
PHY311096,2724.0,1,1068.0,13000
PHY311096,2763.0,1,1068.0,30000
PHY311096,3522.0,1,1068.0,33000
PHY311096,3893.0,1,1068.0,13000
PHY311096,3995.0,1,1068.0,4000
PHY311096,4019.0,1,1068.0,33000
PHY311096,4240.0,1,1068.0,30000
PHY311096,4263.0,1,1068.0,13000
PHY311096,4516.0,1,1068.0,13000
PHY311096,6859.0,1,1068.0,0
PHY311096,8102.0,1,1068.0,11000
PHY311096,8949.0,1,1068.0,4000
PHY311096,9390.0,1,1068.0,13000
PHY311096,9427.0,1,1068.0,18000
PHY311096,9462.0,1,1068.0,3000
PHY311096,9672.0,2,2136.0,39000
PHY311096,9905.0,1,1068.0,7000
PHY311106,1629.0,1,1068.0,10000
PHY311106,3722.0,1,1068.0,10000
PHY311128,80.0,1,1068.0,13000
PHY311128,554.0,1,1068.0,10000
PHY311128,3893.0,1,1068.0,11000
PHY311141,9339.0,1,1068.0,11000
PHY311141,9671.0,1,1068.0,13000
PHY311147,734.0,1,1068.0,21000
PHY311159,3229.0,1,1068.0,31000
PHY311159,3893.0,1,1068.0,7000
PHY311162,3899.0,1,1068.0,8000
PHY311162,4019.0,1,1068.0,6000
PHY311162,9390.0,1,1068.0,6000
PHY311170,3596.0,1,1068.0,14000
PHY311170,3893.0,2,2136.0,8000
PHY311170,3995.0,2,2136.0,16000
PHY311170,4019.0,1,1068.0,14000
PHY311170,4311.0,1,1068.0,6000
PHY311170,5749.0,1,1068.0,4000
PHY311170,5849.0,1,1068.0,57000
PHY311170,7935.0,1,1068.0,9000
PHY311170,8166.0,1,1068.0,57000
PHY311170,9604.0,1,1068.0,10000
PHY311177,3733.0,1,1068.0,30000
PHY311177,4139.0,1,1068.0,30000
PHY311195,8154.0,1,1068.0,23000
PHY311206,9904.0,1,1068.0,6000
PHY311207,3491.0,1,1068.0,8000
PHY311207,4438.0,1,1068.0,11000
PHY311207,4562.0,1,1068.0,57000
PHY311207,5749.0,1,1068.0,14000
PHY311207,5759.0,1,1068.0,9000
PHY311207,5789.0,1,1068.0,10000
PHY311207,6849.0,1,1068.0,5000
PHY311207,9904.0,1,1068.0,10000
PHY311217,9904.0,2,2136.0,12000
PHY311222,66.0,1,1068.0,14000
PHY311222,4439.0,1,1068.0,14000
PHY311222,4513.0,1,1068.0,8000
PHY311222,9971.0,1,1068.0,14000
PHY311223,7869.0,1,1068.0,8000
PHY311223,9962.0,1,1068.0,55000
PHY311244,4516.0,1,0.0,700
PHY311253,3893.0,1,1068.0,11000
PHY311262,3613.0,1,1068.0,36000
PHY311262,9971.0,1,1068.0,36000
PHY311266,3893.0,1,1068.0,4000
PHY311266,8412.0,1,1068.0,18000
PHY311266,9955.0,1,1068.0,5000
PHY311271,9339.0,1,1068.0,21000
PHY311276,3893.0,1,1068.0,3000
PHY311276,9955.0,1,1068.0,6000
PHY311309,2762.0,1,1068.0,13000
PHY311309,3783.0,1,1068.0,13000
PHY311309,5845.0,1,1068.0,13000
PHY311311,3891.0,1,1068.0,8000
PHY311311,5369.0,2,2136.0,10000
PHY311314,7837.0,1,1068.0,7000
PHY311314,9904.0,1,1068.0,7000
PHY311325,3893.0,2,2136.0,16000
PHY311333,3324.0,1,1068.0,9000
PHY311350,8151.0,1,1068.0,12000
PHY311350,8965.0,1,1068.0,5000
PHY311376,3612.0,1,1068.0,22000
PHY311399,3572.0,1,1068.0,11000
PHY311399,3723.0,1,1068.0,6000
PHY311399,3893.0,1,1068.0,6000
PHY311399,3995.0,1,1068.0,21000
PHY311399,4019.0,1,1068.0,6000
PHY311399,7823.0,1,1068.0,6000
PHY311399,8411.0,1,1068.0,11000
PHY311401,5122.0,1,1068.0,11000
PHY311404,8154.0,1,1068.0,13000
PHY311435,3950.0,2,2136.0,28000
PHY311435,8154.0,1,1068.0,11000
PHY311435,9462.0,1,1068.0,10000
PHY311435,9671.0,2,2136.0,30000
PHY311447,66.0,1,1068.0,9000
PHY311447,920.0,1,1068.0,42000
PHY311447,2724.0,1,1068.0,9000
PHY311447,2749.0,1,1068.0,4000
PHY311447,4019.0,2,2136.0,13000
PHY311447,4524.0,1,1068.0,7000
PHY311447,5119.0,1,1068.0,42000
PHY311447,8051.0,1,1068.0,4000
PHY311447,8154.0,2,2136.0,23000
PHY311447,8191.0,1,1068.0,4000
PHY311447,8659.0,1,1068.0,42000
PHY311447,9671.0,1,1068.0,4000
PHY311447,9904.0,1,1068.0,8000
PHY311450,51.0,1,1068.0,48000
PHY311450,4019.0,1,1068.0,48000
PHY311456,9468.0,1,1068.0,4000
PHY311460,9462.0,1,1068.0,12000
PHY311469,66.0,1,1068.0,12000
PHY311469,1733.0,1,1068.0,12000
PHY311469,2724.0,1,1068.0,12000
PHY311469,4019.0,2,2136.0,16000
PHY311469,4516.0,1,1068.0,0
PHY311469,4576.0,1,1068.0,13000
PHY311469,9905.0,1,1068.0,4000
PHY311470,66.0,1,1068.0,8000
PHY311470,3324.0,1,1068.0,5000
PHY311470,3491.0,1,1068.0,8000
PHY311470,3808.0,1,1068.0,22000
PHY311470,3995.0,1,1068.0,0
PHY311470,8872.0,2,2136.0,8000
PHY311470,9394.0,2,2136.0,12000
PHY311470,9607.0,2,2136.0,8000
PHY311482,780.0,1,1068.0,13000
PHY311482,4019.0,1,1068.0,13000
PHY311486,3326.0,1,1068.0,13000
PHY311486,3893.0,2,2136.0,18000
PHY311486,9671.0,1,1068.0,5000
PHY311500,4574.0,1,1068.0,10000
PHY311502,496.0,1,1068.0,3000
PHY311502,9904.0,1,1068.0,3000
PHY311503,8944.0,1,1068.0,9000
PHY311506,8622.0,1,1068.0,13000
