Provider,DiagnosisGroupCode,Count,TotalDeductibleAmtPaid,TotalInscClaimAmtReimbursed
PRV51001,062,1,1068.0,4000
PRV51001,245,1,1068.0,42000
PRV51001,353,1,1068.0,3000
PRV51001,864,1,1068.0,12000
PRV51001,882,1,1068.0,36000
PRV51003,060,1,1068.0,13000
PRV51003,165,1,1068.0,5000
PRV51003,166,1,1068.0,7000
PRV51003,186,1,1068.0,6000
PRV51003,188,1,1068.0,4000
PRV51003,196,1,1068.0,12000
PRV51003,197,1,1068.0,12000
PRV51003,203,3,3204.0,15000
PRV51003,222,1,1068.0,10000
PRV51003,227,1,1068.0,7000
PRV51003,234,1,1068.0,7000
PRV51003,235,1,1068.0,4000
PRV51003,237,1,1068.0,3000
PRV51003,238,1,1068.0,2000
PRV51003,241,2,2136.0,22000
PRV51003,251,1,1068.0,10000
PRV51003,262,2,2136.0,17000
PRV51003,264,1,1068.0,9000
PRV51003,280,1,1068.0,6000
PRV51003,284,1,1068.0,8000
PRV51003,287,1,1068.0,0
PRV51003,291,1,1068.0,8000
PRV51003,298,1,1068.0,7000
PRV51003,304,1,1068.0,13000
PRV51003,315,1,1068.0,12000
PRV51003,340,1,1068.0,7000
PRV51003,343,1,1068.0,9000
PRV51003,354,1,1068.0,3000
PRV51003,356,1,1068.0,0
PRV51003,385,1,1068.0,32000
PRV51003,392,1,1068.0,3000
PRV51003,406,1,1068.0,13000
PRV51003,412,1,1068.0,6000
PRV51003,421,1,1068.0,13000
PRV51003,439,1,1068.0,57000
PRV51003,446,1,1068.0,11000
PRV51003,459,1,1068.0,4000
PRV51003,470,1,1068.0,11000
PRV51003,474,1,1068.0,11000
PRV51003,515,1,1068.0,13000
PRV51003,516,1,1068.0,13000
PRV51003,541,1,1068.0,9000
PRV51003,599,1,1068.0,4000
PRV51003,625,1,1068.0,2000
PRV51003,627,1,1068.0,10000
PRV51003,628,1,1068.0,4000
PRV51003,638,1,1068.0,6000
PRV51003,660,1,1068.0,17000
PRV51003,661,1,1068.0,6000
PRV51003,709,1,1068.0,6000
PRV51003,723,1,1068.0,9000
PRV51003,757,1,1068.0,0
PRV51003,863,1,1068.0,30000
PRV51003,867,1,1068.0,14000
PRV51003,883,1,1068.0,5000
PRV51003,945,1,1068.0,17000
PRV51003,949,1,1068.0,5000
PRV51003,951,1,1068.0,4000
PRV51007,085,1,1068.0,6000
PRV51007,886,1,1068.0,10000
PRV51007,887,1,1068.0,3000
PRV51008,095,1,1068.0,21000
PRV51008,623,1,1068.0,4000
PRV51011,414,1,1068.0,5000
PRV51021,027,1,1068.0,8000
PRV51021,076,2,2136.0,24000
PRV51021,081,1,1068.0,5000
PRV51021,164,1,1068.0,5000
PRV51021,168,1,1068.0,10000
PRV51021,185,1,1068.0,5000
PRV51021,245,1,1068.0,16000
PRV51021,254,1,1068.0,2000
PRV51021,290,1,1068.0,7000
PRV51021,297,1,1068.0,57000
PRV51021,302,1,1068.0,0
PRV51021,307,1,1068.0,18000
PRV51021,315,1,1068.0,4000
PRV51021,342,1,1068.0,3000
PRV51021,346,1,1068.0,6000
PRV51021,353,1,1068.0,5000
PRV51021,378,1,1068.0,14000
PRV51021,385,1,1068.0,5000
PRV51021,422,1,1068.0,3000
PRV51021,454,1,1068.0,10000
PRV51021,502,1,1068.0,11000
PRV51021,516,1,1068.0,12000
PRV51021,585,1,1068.0,8000
PRV51021,618,1,1068.0,3000
PRV51021,644,1,1068.0,5000
PRV51021,723,1,1068.0,12000
PRV51021,802,1,1068.0,11000
PRV51021,OTH,1,1068.0,0
PRV51023,258,1,1068.0,3000
PRV51023,296,1,1068.0,8000
PRV51023,303,1,1068.0,4000
PRV51023,331,1,1068.0,4000
PRV51023,357,1,1068.0,11000
PRV51023,389,1,1068.0,4000
PRV51023,394,1,1068.0,13000
PRV51023,543,1,1068.0,4000
PRV51023,562,1,0.0,3000
PRV51024,052,1,1068.0,3000
PRV51024,252,1,1068.0,2000
PRV51024,333,1,1068.0,5000
PRV51024,382,1,1068.0,3000
PRV51024,418,1,1068.0,9000
PRV51024,419,1,1068.0,7000
PRV51024,539,1,1068.0,10000
PRV51024,542,1,1068.0,9000
PRV51024,548,1,1068.0,13000
PRV51025,030,1,1068.0,3000
PRV51025,177,1,1068.0,6000
PRV51025,193,1,1068.0,10000
PRV51025,229,1,1068.0,16000
PRV51025,253,1,1068.0,6000
PRV51025,294,1,1068.0,2000
PRV51025,332,1,1068.0,17000
PRV51025,369,1,1068.0,2000
PRV51025,371,1,1068.0,4000
PRV51025,496,1,1068.0,11000
PRV51025,508,1,1068.0,2000
PRV51025,685,1,1068.0,4000
PRV51025,804,1,1068.0,3000
PRV51030,054,1,1068.0,9000
PRV51030,068,1,1068.0,16000
PRV51030,099,1,1068.0,3000
PRV51030,100,2,2136.0,9000
PRV51030,101,1,1068.0,5000
PRV51030,156,1,1068.0,5000
PRV51030,167,1,1068.0,7000
PRV51030,168,1,1068.0,5000
PRV51030,180,1,1068.0,4000
PRV51030,182,1,1068.0,11000
PRV51030,216,1,1068.0,6000
PRV51030,220,1,1068.0,4000
PRV51030,225,1,1068.0,10000
PRV51030,227,1,1068.0,7000
PRV51030,229,1,1068.0,11000
PRV51030,236,2,2136.0,12000
PRV51030,242,1,1068.0,8000
PRV51030,244,1,1068.0,14000
PRV51030,248,1,1068.0,5000
PRV51030,249,1,1068.0,30000
PRV51030,251,1,1068.0,2000
PRV51030,263,1,1068.0,8000
PRV51030,264,1,1068.0,4000
PRV51030,301,4,4272.0,38000
PRV51030,303,1,1068.0,3000
PRV51030,310,1,1068.0,1000
PRV51030,315,1,1068.0,4000
PRV51030,326,1,1068.0,3000
PRV51030,332,1,1068.0,34000
PRV51030,337,1,1068.0,0
PRV51030,338,1,1068.0,3000
PRV51030,339,1,1068.0,14000
PRV51030,346,1,1068.0,4000
PRV51030,385,1,1068.0,5000
PRV51030,390,1,1068.0,13000
PRV51030,395,2,2136.0,15000
PRV51030,409,1,1068.0,18000
PRV51030,416,2,2136.0,14000
PRV51030,442,1,1068.0,12000
PRV51030,462,1,1068.0,5000
PRV51030,465,1,1068.0,7000
PRV51030,467,1,1068.0,14000
PRV51030,476,1,1068.0,21000
PRV51030,490,1,1068.0,57000
PRV51030,511,1,1068.0,4000
PRV51030,534,1,1068.0,18000
PRV51030,547,1,1068.0,6000
PRV51030,594,1,1068.0,4000
PRV51030,601,1,1068.0,5000
PRV51030,622,1,1068.0,8000
PRV51030,626,1,1068.0,4000
PRV51030,657,1,1068.0,7000
PRV51030,658,1,1068.0,4000
PRV51030,659,1,1068.0,5000
PRV51030,665,1,1068.0,3000
PRV51030,700,1,1068.0,3000
PRV51030,712,2,2136.0,14000
PRV51030,718,1,1068.0,5000
PRV51030,740,1,1068.0,0
PRV51030,746,1,0.0,6000
PRV51030,809,1,1068.0,6000
PRV51030,824,1,1068.0,13000
PRV51030,854,1,1068.0,10000
PRV51030,855,1,1068.0,9000
PRV51030,876,1,1068.0,15000
PRV51030,882,1,1068.0,4000
PRV51030,883,1,1068.0,600
PRV51030,884,1,1068.0,4000
PRV51030,885,1,1068.0,14000
PRV51030,896,1,1068.0,4000
PRV51030,901,1,1068.0,17000
PRV51030,941,1,1068.0,12000
PRV51030,949,1,1068.0,4000
PRV51030,983,1,1068.0,17000
PRV51031,089,1,1068.0,8000
PRV51031,100,1,1068.0,12000
PRV51031,189,1,1068.0,23000
PRV51031,215,1,1068.0,5000
PRV51031,234,1,1068.0,19000
PRV51031,241,1,1068.0,68000
PRV51031,246,1,1068.0,3000
PRV51031,260,1,1068.0,5000
PRV51031,281,1,1068.0,5000
PRV51031,283,1,1068.0,4000
PRV51031,302,1,1068.0,6000
PRV51031,303,1,1068.0,4000
PRV51031,305,1,1068.0,24000
PRV51031,313,1,1068.0,3000
PRV51031,326,1,1068.0,12000
PRV51031,373,1,1068.0,11000
PRV51031,480,1,1068.0,14000
PRV51031,494,1,1068.0,14000
PRV51031,564,1,1068.0,11000
PRV51031,655,1,1068.0,5000
PRV51031,729,1,1068.0,4000
PRV51031,777,1,1068.0,5000
PRV51031,803,1,1068.0,9000
PRV51031,867,1,1068.0,7000
PRV51031,870,1,1068.0,30000
PRV51031,886,1,1068.0,4000
PRV51031,902,1,1068.0,0
PRV51031,940,1,1068.0,14000
PRV51035,006,1,1068.0,29000
PRV51037,065,1,1068.0,15000
PRV51037,149,1,1068.0,5000
PRV51037,185,1,1068.0,14000
PRV51037,222,1,1068.0,5000
PRV51037,234,1,1068.0,5000
PRV51037,307,1,1068.0,9000
PRV51037,372,1,1068.0,5000
PRV51037,374,1,1068.0,5000
PRV51037,462,1,1068.0,3000
PRV51037,469,1,1068.0,6000
PRV51037,475,1,1068.0,4000
PRV51037,480,1,1068.0,23000
PRV51037,488,1,1068.0,17000
PRV51037,541,1,1068.0,16000
PRV51037,560,1,1068.0,12000
PRV51037,603,1,1068.0,5000
PRV51037,629,1,1068.0,7000
PRV51037,800,1,1068.0,21000
PRV51037,804,1,1068.0,4000
PRV51037,815,1,1068.0,7000
PRV51037,853,1,1068.0,8000
PRV51037,869,1,1068.0,5000
PRV51037,948,1,1068.0,13000
PRV51038,029,1,1068.0,5000
PRV51038,040,1,1068.0,7000
PRV51038,079,1,1068.0,17000
PRV51038,165,1,1068.0,3000
PRV51038,178,1,1068.0,5000
PRV51038,190,1,1068.0,17000
PRV51038,192,1,1068.0,7000
PRV51038,195,1,1068.0,3000
PRV51038,204,1,1068.0,9000
PRV51038,205,1,1068.0,9000
PRV51038,208,1,1068.0,5000
PRV51038,256,1,1068.0,4000
PRV51038,291,1,1068.0,3000
PRV51038,299,1,1068.0,4000
PRV51038,303,1,0.0,7000
PRV51038,346,1,1068.0,12000
PRV51038,408,1,1068.0,11000
PRV51038,436,1,1068.0,600
PRV51038,467,1,1068.0,12000
PRV51038,497,1,1068.0,4000
PRV51038,500,1,1068.0,8000
PRV51038,513,1,1068.0,10000
PRV51038,545,1,1068.0,11000
PRV51038,584,1,1068.0,13000
PRV51038,653,1,1068.0,7000
PRV51038,673,1,1068.0,4000
PRV51038,869,1,1068.0,9000
PRV51038,880,1,1068.0,11000
PRV51038,887,1,1068.0,10000
PRV51038,897,1,1068.0,2000
PRV51040,010,1,1068.0,0
PRV51040,090,1,1068.0,5000
PRV51040,215,1,1068.0,0
PRV51040,240,1,0.0,3000
PRV51040,250,1,1068.0,6000
PRV51040,306,1,1068.0,21000
PRV51040,472,1,1068.0,5000
PRV51040,497,1,1068.0,4000
PRV51040,853,1,1068.0,19000
PRV51046,086,1,1068.0,10000
PRV51046,176,1,1068.0,2000
PRV51046,374,1,1068.0,10000
PRV51046,536,1,1068.0,11000
PRV51046,549,1,1068.0,38000
PRV51046,685,1,1068.0,8000
PRV51046,696,1,1068.0,5000
PRV51046,949,1,1068.0,17000
PRV51048,030,1,1068.0,5000
PRV51048,374,1,1068.0,3000
PRV51048,693,1,1068.0,7000
PRV51048,897,1,1068.0,4000
PRV51052,252,1,1068.0,9000
PRV51052,355,1,1068.0,5000
