Provider,PotentialFraud
PRV51001,0
PRV51003,1
PRV51004,0
PRV51005,1
PRV51007,0
PRV51008,0
PRV51011,0
PRV51012,0
PRV51013,0
PRV51014,0
PRV51015,0
PRV51016,0
PRV51017,0
PRV51021,1
PRV51023,0
PRV51024,0
PRV51025,0
PRV51026,0
PRV51027,0
PRV51029,0
PRV51030,0
PRV51031,0
PRV51032,0
PRV51035,0
PRV51036,0
PRV51037,1
PRV51038,0
PRV51040,0
PRV51041,0
PRV51042,0
PRV51043,0
PRV51044,0
PRV51045,0
PRV51046,0
PRV51047,0
PRV51048,0
PRV51049,0
PRV51052,1
PRV51053,0
PRV51054,0
PRV51055,0
PRV51056,0
PRV51057,0
PRV51058,0
PRV51059,1
PRV51060,0
PRV51061,0
PRV51062,0
PRV51063,0
PRV51064,1
PRV51065,0
PRV51066,0
PRV51067,1
PRV51068,0
PRV51070,0
PRV51071,0
PRV51072,0
PRV51074,0
PRV51075,0
PRV51076,0
PRV51077,1
PRV51078,0
PRV51081,0
PRV51082,0
PRV51083,0
PRV51084,1
PRV51086,0
PRV51089,0
PRV51090,0
PRV51091,0
PRV51093,0
PRV51096,0
PRV51097,0
PRV51098,0
PRV51100,0
PRV51101,0
PRV51102,0
PRV51103,1
PRV51104,0
PRV51105,0
PRV51108,0
PRV51109,0
PRV51110,0
PRV51111,0
PRV51112,0
PRV51113,0
PRV51114,0
PRV51115,0
PRV51117,0
PRV51118,0
PRV51119,1
PRV51120,0
PRV51121,0
PRV51122,0
PRV51123,0
PRV51125,0
PRV51126,1
PRV51128,0
PRV51129,0
PRV51130,0
PRV51131,0
PRV51132,0
PRV51134,0
PRV51135,0
PRV51136,0
PRV51137,0
PRV51138,0
PRV51139,0
PRV51140,0
PRV51141,0
PRV51142,0
PRV51143,0
PRV51144,0
PRV51145,1
PRV51146,1
PRV51147,0
PRV51148,1
PRV51149,1
PRV51151,0
PRV51152,0
PRV51153,0
PRV51154,0
PRV51155,0
PRV51156,0
PRV51159,1
PRV51160,0
PRV51164,0
PRV51165,0
PRV51166,0
PRV51167,0
PRV51168,0
PRV51169,0
PRV51170,1
PRV51171,0
PRV51173,1
PRV51175,0
PRV51176,0
PRV51178,1
PRV51179,0
PRV51180,0
PRV51181,0
PRV51183,0
PRV51185,0
PRV51186,0
PRV51189,0
PRV51190,0
PRV51191,0
PRV51194,0
PRV51196,0
PRV51198,0
PRV51200,0
PRV51201,0
PRV51202,0
PRV51203,0
PRV51204,0
PRV51205,0
PRV51206,0
PRV51207,0
PRV51209,0
PRV51210,0
PRV51211,0
PRV51212,0
PRV51213,0
PRV51214,0
PRV51215,0
PRV51216,0
PRV51217,0
PRV51218,0
PRV51219,0
PRV51221,0
PRV51222,0
PRV51224,0
PRV51225,0
PRV51226,0
PRV51228,0
PRV51229,0
PRV51230,0
PRV51231,0
PRV51232,0
PRV51233,0
PRV51234,0
PRV51235,0
PRV51236,0
PRV51237,0
PRV51238,0
PRV51239,0
PRV51240,0
PRV51241,0
PRV51242,1
PRV51243,0
PRV51244,1
PRV51245,0
PRV51247,0
PRV51248,0
PRV51249,1
PRV51250,0
PRV51251,0
PRV51252,0
PRV51253,0
PRV51255,0
PRV51256,0
PRV51258,0
PRV51259,0
PRV51260,0
PRV51261,0
PRV51262,0
PRV51263,1
PRV51264,0
PRV51265,0
PRV51266,0
PRV51267,0
PRV51271,0
PRV51272,0
PRV51273,0
PRV51274,0
PRV51276,0
PRV51277,0
PRV51279,0
PRV51280,0
PRV51281,0
PRV51282,0
PRV51284,0
PRV51285,0
PRV51286,0
PRV51287,0
PRV51288,0
PRV51289,0
PRV51290,0
PRV51292,0
PRV51293,0
PRV51295,0
PRV51296,0
PRV51297,0
PRV51298,0
PRV51299,0
PRV51300,0
PRV51301,0
PRV51302,0
PRV51303,0
PRV51304,0
PRV51305,0
PRV51306,0
PRV51307,0
PRV51308,0
PRV51309,0
PRV51311,0
PRV51312,0
PRV51313,0
PRV51314,0
PRV51315,0
PRV51316,0
PRV51318,0
PRV51322,0
PRV51323,0
PRV51324,0
PRV51325,0
PRV51326,0
PRV51327,0
PRV51328,0
PRV51329,0
PRV51330,0
PRV51331,0
PRV51334,0
PRV51335,0
PRV51336,0
PRV51337,1
PRV51338,1
PRV51340,0
PRV51341,0
PRV51342,0
PRV51344,0
PRV51345,0
PRV51346,0
PRV51347,1
PRV51348,0
PRV51349,0
PRV51350,0
PRV51351,0
PRV51352,0
PRV51353,0
PRV51354,0
PRV51355,0
PRV51356,0
PRV51357,1
PRV51358,0
PRV51360,0
PRV51361,0
PRV51362,0
PRV51363,0
PRV51364,0
PRV51366,0
PRV51368,0
PRV51369,1
PRV51371,0
PRV51376,0
PRV51377,0
PRV51378,1
PRV51379,0
PRV51380,0
PRV51382,0
PRV51383,0
PRV51386,0
PRV51387,0
PRV51388,0
PRV51389,0
PRV51390,1
PRV51391,0
PRV51392,0
PRV51393,1
PRV51394,0
PRV51395,0
PRV51396,0
PRV51397,0
PRV51398,0
PRV51399,1
PRV51401,1
PRV51403,0
PRV51404,0
PRV51405,0
PRV51406,0
PRV51408,0
PRV51409,0
PRV51410,1
PRV51412,0
PRV51414,0
PRV51415,0
PRV51416,0
PRV51418,0
PRV51419,0
PRV51421,1
PRV51422,0
PRV51423,0
PRV51424,0
PRV51425,0
PRV51426,1
PRV51427,0
PRV51428,0
PRV51429,0
PRV51430,0
PRV51431,0
PRV51432,0
PRV51433,1
PRV51434,1
PRV51435,0
PRV51436,0
PRV51437,0
PRV51438,0
PRV51439,0
PRV51440,0
PRV51441,0
PRV51442,0
PRV51443,0
PRV51444,0
PRV51446,0
PRV51447,1
PRV51448,0
PRV51449,0
PRV51451,0
PRV51453,0
PRV51454,0
PRV51455,0
PRV51456,0
PRV51458,0
PRV51459,1
PRV51460,0
PRV51462,0
PRV51464,0
PRV51465,0
PRV51466,0
PRV51467,0
PRV51468,0
PRV51469,0
PRV51470,0
PRV51471,1
PRV51472,0
PRV51474,0
PRV51475,0
PRV51476,0
PRV51477,0
PRV51478,0
PRV51479,0
PRV51480,1
PRV51482,1
PRV51483,0
PRV51484,0
PRV51486,0
PRV51487,0
PRV51488,0
PRV51490,1
PRV51491,0
PRV51492,0
PRV51494,0
PRV51495,1
PRV51496,0
PRV51497,0
PRV51499,0
PRV51500,0
PRV51501,1
PRV51502,0
PRV51503,0
PRV51504,0
PRV51505,0
PRV51507,1
PRV51508,0
PRV51509,0
PRV51510,0
PRV51511,0
PRV51514,0
PRV51515,0
PRV51516,0
PRV51517,0
PRV51518,0
PRV51521,0
PRV51522,0
PRV51523,0
PRV51525,0
PRV51526,0
PRV51527,0
PRV51528,0
PRV51529,0
PRV51531,0
PRV51532,0
PRV51533,0
PRV51534,0
PRV51535,0
PRV51536,0
PRV51539,1
PRV51540,0
PRV51541,0
PRV51542,1
PRV51544,0
PRV51546,0
PRV51547,0
PRV51549,0
PRV51550,0
PRV51551,0
PRV51552,0
PRV51553,0
PRV51554,0
PRV51555,0
PRV51556,0
PRV51557,0
PRV51558,0
PRV51560,1
PRV51562,0
PRV51563,0
PRV51564,0
PRV51566,0
PRV51567,1
PRV51568,0
PRV51569,0
PRV51570,0
PRV51571,0
PRV51572,0
PRV51573,0
PRV51574,1
PRV51576,0
PRV51577,0
PRV51578,1
PRV51579,0
PRV51580,0
PRV51582,0
PRV51583,0
PRV51584,1
PRV51585,0
PRV51586,1
PRV51587,0
PRV51588,0
PRV51590,1
PRV51592,0
PRV51593,1
PRV51595,0
PRV51596,0
PRV51598,0
PRV51599,0
PRV51600,0
PRV51601,0
PRV51602,0
PRV51604,1
PRV51605,0
PRV51606,0
PRV51607,0
PRV51608,0
PRV51609,0
PRV51610,0
PRV51611,0
PRV51612,0
PRV51613,0
PRV51614,1
PRV51616,0
PRV51617,0
PRV51618,0
PRV51619,0
PRV51620,0
PRV51621,0
PRV51622,0
PRV51623,0
PRV51624,0
PRV51625,0
PRV51626,0
PRV51627,0
PRV51628,0
PRV51629,0
PRV51630,0
PRV51631,0
PRV51632,0
PRV51634,0
PRV51635,0
PRV51636,0
PRV51637,0
PRV51638,0
PRV51639,0
PRV51640,0
PRV51641,0
PRV51642,0
PRV51644,0
PRV51645,0
PRV51647,0
