Provider,ClmProcedureCode,Count,TotalDeductibleAmtPaid,TotalInscClaimAmtReimbursed
PRV51001,2724.0,1,1068.0,42000
PRV51001,3521.0,1,1068.0,42000
PRV51001,8659.0,1,1068.0,4000
PRV51003,66.0,1,1068.0,8000
PRV51003,242.0,1,1068.0,13000
PRV51003,387.0,1,1068.0,30000
PRV51003,603.0,1,1068.0,9000
PRV51003,1629.0,1,1068.0,30000
PRV51003,2724.0,1,1068.0,17000
PRV51003,2761.0,1,1068.0,17000
PRV51003,3326.0,1,1068.0,12000
PRV51003,3423.0,1,1068.0,4000
PRV51003,3491.0,2,2136.0,15000
PRV51003,3722.0,2,2136.0,22000
PRV51003,3734.0,1,1068.0,9000
PRV51003,3783.0,1,1068.0,13000
PRV51003,3893.0,2,2136.0,10000
PRV51003,3925.0,1,1068.0,14000
PRV51003,3995.0,2,2136.0,10000
PRV51003,4011.0,1,1068.0,9000
PRV51003,4019.0,3,3204.0,33000
PRV51003,4139.0,1,1068.0,9000
PRV51003,4443.0,1,1068.0,6000
PRV51003,4513.0,1,1068.0,57000
PRV51003,4516.0,1,1068.0,3000
PRV51003,4593.0,1,1068.0,9000
PRV51003,5123.0,1,1068.0,13000
PRV51003,5411.0,1,1068.0,32000
PRV51003,5712.0,1,1068.0,32000
PRV51003,6062.0,1,1068.0,6000
PRV51003,6851.0,1,1068.0,0
PRV51003,7915.0,2,2136.0,22000
PRV51003,7935.0,1,1068.0,11000
PRV51003,8154.0,2,2136.0,24000
PRV51003,8622.0,2,2136.0,31000
PRV51003,8628.0,1,1068.0,14000
PRV51003,8841.0,1,1068.0,3000
PRV51003,8954.0,1,1068.0,3000
PRV51003,9339.0,1,1068.0,17000
PRV51003,9390.0,1,1068.0,10000
PRV51003,9394.0,1,1068.0,6000
PRV51003,9907.0,1,1068.0,6000
PRV51007,8627.0,1,1068.0,6000
PRV51008,159.0,1,1068.0,21000
PRV51008,8954.0,1,1068.0,4000
PRV51017,8152.0,1,0.0,1500
PRV51017,9904.0,1,0.0,90
PRV51021,387.0,1,1068.0,18000
PRV51021,604.0,1,1068.0,12000
PRV51021,2724.0,1,1068.0,5000
PRV51021,3524.0,1,1068.0,57000
PRV51021,3722.0,2,2136.0,11000
PRV51021,3783.0,1,1068.0,16000
PRV51021,3995.0,1,1068.0,8000
PRV51021,4019.0,2,2136.0,9000
PRV51021,4251.0,1,1068.0,57000
PRV51021,4513.0,1,1068.0,6000
PRV51021,4516.0,2,2136.0,8000
PRV51021,5491.0,1,1068.0,3000
PRV51021,8151.0,1,1068.0,11000
PRV51021,8154.0,2,2136.0,22000
PRV51021,9419.0,1,1068.0,3000
PRV51021,9465.0,1,1068.0,0
PRV51021,9904.0,1,1068.0,11000
PRV51021,9971.0,1,1068.0,57000
PRV51023,4542.0,1,1068.0,4000
PRV51023,5421.0,1,1068.0,13000
PRV51023,9672.0,1,1068.0,11000
PRV51023,9702.0,1,1068.0,4000
PRV51023,9929.0,1,0.0,3000
PRV51024,3893.0,1,1068.0,7000
PRV51024,4516.0,1,1068.0,9000
PRV51024,8151.0,1,1068.0,13000
PRV51024,8154.0,1,1068.0,9000
PRV51024,9354.0,1,1068.0,10000
PRV51024,9607.0,1,1068.0,3000
PRV51024,9915.0,1,1068.0,5000
PRV51025,2724.0,1,1068.0,17000
PRV51025,3722.0,1,1068.0,6000
PRV51025,3893.0,1,1068.0,3000
PRV51025,3950.0,1,1068.0,16000
PRV51025,3995.0,1,1068.0,4000
PRV51025,4019.0,1,1068.0,4000
PRV51025,4513.0,1,1068.0,2000
PRV51025,5491.0,1,1068.0,2000
PRV51025,8154.0,1,1068.0,11000
PRV51025,8191.0,1,1068.0,17000
PRV51025,9904.0,2,2136.0,9000
PRV51030,66.0,1,1068.0,10000
PRV51030,309.0,1,1068.0,5000
PRV51030,496.0,1,0.0,6000
PRV51030,605.0,1,1068.0,5000
PRV51030,1629.0,1,1068.0,14000
PRV51030,1736.0,1,1068.0,14000
PRV51030,2724.0,2,2136.0,31000
PRV51030,2762.0,1,1068.0,4000
PRV51030,2911.0,1,1068.0,6000
PRV51030,3321.0,1,1068.0,12000
PRV51030,3491.0,1,1068.0,7000
PRV51030,3722.0,1,1068.0,9000
PRV51030,3723.0,1,1068.0,4000
PRV51030,3772.0,1,1068.0,15000
PRV51030,3782.0,1,1068.0,14000
PRV51030,3794.0,1,1068.0,30000
PRV51030,3812.0,1,1068.0,9000
PRV51030,3995.0,2,2136.0,13000
PRV51030,4019.0,2,2136.0,17000
PRV51030,4139.0,1,0.0,6000
PRV51030,4240.0,1,1068.0,9000
PRV51030,4422.0,1,1068.0,4000
PRV51030,4516.0,1,1068.0,3000
PRV51030,4523.0,1,1068.0,4000
PRV51030,4840.0,1,1068.0,13000
PRV51030,5119.0,1,1068.0,57000
